level,group,rep,started_at_epoch,duration_s,k6_success,k6_rejected,k6_server_error,http_reqs,final_remaining_seats,final_registrations,status,grafana_url
50,A,1,1786508899,5,50,0,0,50,49,50,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1786508896000&to=1786508909000&var-group=%2Fapi%2Fregistrations%2Fnaive
50,B,1,1786508908,6,50,0,0,50,0,50,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1786508905000&to=1786508919000&var-group=%2Fapi%2Fregistrations%2Fpessimistic
50,A,2,1786508918,6,50,0,0,50,47,50,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1786508915000&to=1786508929000&var-group=%2Fapi%2Fregistrations%2Fnaive
50,B,2,1786508927,5,50,0,0,50,0,50,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1786508924000&to=1786508937000&var-group=%2Fapi%2Fregistrations%2Fpessimistic
50,A,3,1786508936,5,50,0,0,50,49,50,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1786508933000&to=1786508946000&var-group=%2Fapi%2Fregistrations%2Fnaive
50,B,3,1786508945,5,50,0,0,50,0,50,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1786508942000&to=1786508955000&var-group=%2Fapi%2Fregistrations%2Fpessimistic
50,A,4,1786508954,5,50,0,0,50,47,50,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1786508951000&to=1786508964000&var-group=%2Fapi%2Fregistrations%2Fnaive
50,B,4,1786508963,6,50,0,0,50,0,50,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1786508960000&to=1786508974000&var-group=%2Fapi%2Fregistrations%2Fpessimistic
50,A,5,1786508972,5,50,0,0,50,48,50,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1786508969000&to=1786508982000&var-group=%2Fapi%2Fregistrations%2Fnaive
50,B,5,1786508981,5,50,0,0,50,0,50,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1786508978000&to=1786508991000&var-group=%2Fapi%2Fregistrations%2Fpessimistic
100,A,1,1786508990,4,100,0,0,100,49,100,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1786508987000&to=1786508999000&var-group=%2Fapi%2Fregistrations%2Fnaive
100,B,1,1786508998,6,50,50,0,100,0,50,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1786508995000&to=1786509009000&var-group=%2Fapi%2Fregistrations%2Fpessimistic
100,A,2,1786509007,5,100,0,0,100,48,100,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1786509004000&to=1786509017000&var-group=%2Fapi%2Fregistrations%2Fnaive
100,B,2,1786509016,5,50,50,0,100,0,50,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1786509013000&to=1786509026000&var-group=%2Fapi%2Fregistrations%2Fpessimistic
100,A,3,1786509025,5,100,0,0,100,47,100,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1786509022000&to=1786509035000&var-group=%2Fapi%2Fregistrations%2Fnaive
100,B,3,1786509034,5,50,50,0,100,0,50,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1786509031000&to=1786509044000&var-group=%2Fapi%2Fregistrations%2Fpessimistic
100,A,4,1786509043,5,100,0,0,100,48,100,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1786509040000&to=1786509053000&var-group=%2Fapi%2Fregistrations%2Fnaive
100,B,4,1786509052,6,50,50,0,100,0,50,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1786509049000&to=1786509063000&var-group=%2Fapi%2Fregistrations%2Fpessimistic
100,A,5,1786509061,6,100,0,0,100,48,100,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1786509058000&to=1786509072000&var-group=%2Fapi%2Fregistrations%2Fnaive
100,B,5,1786509071,5,50,50,0,100,0,50,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1786509068000&to=1786509081000&var-group=%2Fapi%2Fregistrations%2Fpessimistic
300,A,1,1786509080,9,300,0,0,300,48,300,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1786509077000&to=1786509094000&var-group=%2Fapi%2Fregistrations%2Fnaive
300,B,1,1786509093,7,50,250,0,300,0,50,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1786509090000&to=1786509105000&var-group=%2Fapi%2Fregistrations%2Fpessimistic
300,A,2,1786509104,7,300,0,0,300,48,300,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1786509101000&to=1786509116000&var-group=%2Fapi%2Fregistrations%2Fnaive
300,B,2,1786509115,6,50,250,0,300,0,50,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1786509112000&to=1786509126000&var-group=%2Fapi%2Fregistrations%2Fpessimistic
300,A,3,1786509125,7,300,0,0,300,48,300,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1786509122000&to=1786509137000&var-group=%2Fapi%2Fregistrations%2Fnaive
300,B,3,1786509135,6,50,250,0,300,0,50,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1786509132000&to=1786509146000&var-group=%2Fapi%2Fregistrations%2Fpessimistic
300,A,4,1786509145,6,300,0,0,300,46,300,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1786509142000&to=1786509156000&var-group=%2Fapi%2Fregistrations%2Fnaive
300,B,4,1786509154,7,50,250,0,300,0,50,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1786509151000&to=1786509166000&var-group=%2Fapi%2Fregistrations%2Fpessimistic
300,A,5,1786509164,6,300,0,0,300,48,300,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1786509161000&to=1786509175000&var-group=%2Fapi%2Fregistrations%2Fnaive
300,B,5,1786509174,6,50,250,0,300,0,50,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1786509171000&to=1786509185000&var-group=%2Fapi%2Fregistrations%2Fpessimistic
500,A,1,1786509184,8,500,0,0,500,46,500,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1786509181000&to=1786509197000&var-group=%2Fapi%2Fregistrations%2Fnaive
500,B,1,1786509195,7,50,450,0,500,0,50,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1786509192000&to=1786509207000&var-group=%2Fapi%2Fregistrations%2Fpessimistic
500,A,2,1786509207,6,500,0,0,500,48,500,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1786509204000&to=1786509218000&var-group=%2Fapi%2Fregistrations%2Fnaive
500,B,2,1786509217,7,50,450,0,500,0,50,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1786509214000&to=1786509229000&var-group=%2Fapi%2Fregistrations%2Fpessimistic
500,A,3,1786509227,8,500,0,0,500,49,500,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1786509224000&to=1786509240000&var-group=%2Fapi%2Fregistrations%2Fnaive
500,B,3,1786509238,7,50,450,0,500,0,50,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1786509235000&to=1786509250000&var-group=%2Fapi%2Fregistrations%2Fpessimistic
500,A,4,1786509249,7,500,0,0,500,47,500,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1786509246000&to=1786509261000&var-group=%2Fapi%2Fregistrations%2Fnaive
500,B,4,1786509260,8,50,450,0,500,0,50,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1786509257000&to=1786509273000&var-group=%2Fapi%2Fregistrations%2Fpessimistic
