vus,rep,started_at_epoch,duration_s,k6_success,k6_rejected,k6_server_error,http_reqs,redis_remaining_seats,mysql_registrations,dlq_depth,drain_wait_s,status,grafana_url
50,1,1787059164,6,50,0,0,50,0,50,0,0,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1787059161000&to=1787059175000&var-group=%2Fapi%2Fregistrations%2Fredis
50,2,1787059174,5,50,0,0,50,0,50,0,0,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1787059171000&to=1787059184000&var-group=%2Fapi%2Fregistrations%2Fredis
50,3,1787059183,5,50,0,0,50,0,50,0,0,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1787059180000&to=1787059193000&var-group=%2Fapi%2Fregistrations%2Fredis
50,4,1787059192,5,50,0,0,50,0,50,0,0,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1787059189000&to=1787059202000&var-group=%2Fapi%2Fregistrations%2Fredis
50,5,1787059201,6,50,0,0,50,0,50,0,0,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1787059198000&to=1787059212000&var-group=%2Fapi%2Fregistrations%2Fredis
100,1,1787059210,6,50,50,0,100,0,50,0,0,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1787059207000&to=1787059221000&var-group=%2Fapi%2Fregistrations%2Fredis
100,2,1787059220,5,50,50,0,100,0,50,0,0,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1787059217000&to=1787059230000&var-group=%2Fapi%2Fregistrations%2Fredis
100,3,1787059229,5,50,50,0,100,0,50,0,0,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1787059226000&to=1787059239000&var-group=%2Fapi%2Fregistrations%2Fredis
100,4,1787059238,6,50,50,0,100,0,50,0,0,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1787059235000&to=1787059249000&var-group=%2Fapi%2Fregistrations%2Fredis
100,5,1787059248,5,50,50,0,100,0,50,0,0,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1787059245000&to=1787059258000&var-group=%2Fapi%2Fregistrations%2Fredis
300,1,1787059257,6,50,250,0,300,0,50,0,0,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1787059254000&to=1787059268000&var-group=%2Fapi%2Fregistrations%2Fredis
300,2,1787059267,7,50,250,0,300,0,50,0,0,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1787059264000&to=1787059279000&var-group=%2Fapi%2Fregistrations%2Fredis
300,3,1787059277,6,50,250,0,300,0,50,0,0,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1787059274000&to=1787059288000&var-group=%2Fapi%2Fregistrations%2Fredis
300,4,1787059287,7,50,250,0,300,0,50,0,0,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1787059284000&to=1787059299000&var-group=%2Fapi%2Fregistrations%2Fredis
300,5,1787059297,6,50,250,0,300,0,50,0,0,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1787059294000&to=1787059308000&var-group=%2Fapi%2Fregistrations%2Fredis
500,1,1787059307,7,50,450,0,500,0,50,0,0,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1787059304000&to=1787059319000&var-group=%2Fapi%2Fregistrations%2Fredis
500,2,1787059317,7,50,450,0,500,0,50,0,0,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1787059314000&to=1787059329000&var-group=%2Fapi%2Fregistrations%2Fredis
500,3,1787059328,7,50,450,0,500,0,50,0,0,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1787059325000&to=1787059340000&var-group=%2Fapi%2Fregistrations%2Fredis
500,4,1787059339,6,50,450,0,500,0,50,0,0,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1787059336000&to=1787059350000&var-group=%2Fapi%2Fregistrations%2Fredis
500,5,1787059349,7,50,450,0,500,0,50,0,0,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1787059346000&to=1787059361000&var-group=%2Fapi%2Fregistrations%2Fredis
1000,1,1787059360,9,50,911,39,1000,0,50,0,0,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1787059357000&to=1787059374000&var-group=%2Fapi%2Fregistrations%2Fredis
1000,2,1787059373,8,50,908,42,1000,0,50,0,0,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1787059370000&to=1787059386000&var-group=%2Fapi%2Fregistrations%2Fredis
1000,3,1787059385,8,50,935,15,1000,0,50,0,0,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1787059382000&to=1787059398000&var-group=%2Fapi%2Fregistrations%2Fredis
1000,4,1787059397,8,50,910,40,1000,0,50,0,0,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1787059394000&to=1787059410000&var-group=%2Fapi%2Fregistrations%2Fredis
1000,5,1787059409,8,50,936,14,1000,0,50,0,0,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1787059406000&to=1787059422000&var-group=%2Fapi%2Fregistrations%2Fredis
3000,1,1787059421,12,50,1001,1949,3000,0,50,0,0,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1787059418000&to=1787059438000&var-group=%2Fapi%2Fregistrations%2Fredis
3000,2,1787059437,11,50,1238,1712,3000,0,50,0,0,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1787059434000&to=1787059453000&var-group=%2Fapi%2Fregistrations%2Fredis
3000,3,1787059452,11,50,920,2030,3000,0,50,0,0,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1787059449000&to=1787059468000&var-group=%2Fapi%2Fregistrations%2Fredis
3000,4,1787059467,11,50,930,2020,3000,0,50,0,0,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1787059464000&to=1787059483000&var-group=%2Fapi%2Fregistrations%2Fredis
3000,5,1787059482,11,50,909,2041,3000,0,50,0,0,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1787059479000&to=1787059498000&var-group=%2Fapi%2Fregistrations%2Fredis
12000,1,1787059497,28,50,1927,10023,12000,0,50,0,0,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1787059494000&to=1787059530000&var-group=%2Fapi%2Fregistrations%2Fredis
12000,2,1787059529,24,50,1377,10573,12000,0,50,0,0,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1787059526000&to=1787059558000&var-group=%2Fapi%2Fregistrations%2Fredis
12000,3,1787059557,24,50,1067,10883,12000,0,50,0,0,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1787059554000&to=1787059586000&var-group=%2Fapi%2Fregistrations%2Fredis
12000,4,1787059585,26,50,974,10976,12000,0,50,0,0,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1787059582000&to=1787059616000&var-group=%2Fapi%2Fregistrations%2Fredis
12000,5,1787059615,27,50,1690,10260,12000,0,50,0,0,ok,http://localhost:3300/d/registration-loadtest/experiment-01?orgId=1&from=1787059612000&to=1787059647000&var-group=%2Fapi%2Fregistrations%2Fredis
