scenario,vus,rep,started_at_epoch,duration_s,metric1,metric2,metric3,metric4,metric5,mysql_target_registrations,mysql_overlap_registrations,dlq_depth,drain_wait_s,status
macro,3000,1,1787059647,16,50,89,1019,13842,2953,50,0,0,0,ok
overlap,3000,1,1787059668,14,396,297,2703,,,396,45,0,0,ok
macro,3000,2,1787059687,14,50,104,1017,13829,2916,50,0,0,0,ok
overlap,3000,2,1787059706,12,1,0,3000,,,1,45,0,0,ok
macro,3000,3,1787059723,16,50,91,962,13897,2960,50,0,0,0,ok
overlap,3000,3,1787059744,13,105,96,2904,,,105,45,0,0,ok
macro,12000,1,1787059762,49,50,51,6615,53284,11293,50,0,0,0,ok
overlap,12000,1,1787059816,33,2,1,11999,,,2,45,0,0,ok
macro,12000,2,1787059854,48,50,34,1006,58910,11966,50,0,0,0,ok
overlap,12000,2,1787059907,29,0,0,12000,,,0,45,0,0,ok
macro,12000,3,1787059940,39,50,36,2526,57388,11790,50,0,0,0,ok
overlap,12000,3,1787059985,29,330,234,11766,,,330,45,0,0,ok
